grado,nro_escuela,estudio_adicional,dni_doc
MAG64496,83,Sterlitamak State Pedagogical Institute,609794386
MAG37868,84,University of Medicine and Dentistry of New Jersey,717246016
MAG29706,85,Yakutsk State University,392098378
MAG20703,86,Steinbeis-Hochschule-Berlin,459297737
MAG87407,87,University of Central Florida,620646820
MAG66569,88,Oklahoma State University - Oklahoma City,874922636
MAG21039,89,St. Joseph University Beirut,501492053
MAG78928,90,"Institue of Technology, Tralee",880410822
MAG30483,91,Atlanta College of Art,246106671
MAG42340,92,Kyoto University of Education,229249884
MAG53637,93,Libyan International Medical University (LIMU),013042045
MAG50222,94,Midlands State University,319176109
MAG44956,95,University of Warwick,591028338
MAG74417,96,Universidad Politécnica de Cataluna,759585149
MAG90853,97,Ho Chi Minh City University of Law,383738826
MAG39766,98,Otsuma Women's University,783290296
MAG14302,99,"Hogeschool voor Wetenschap en Kunst (VLEKHO), Brussel",531972778
MAG31011,100,Port Dickson Polytechnic,222583694
MAG50439,101,Palmer College of Chiropractic,561586643
MAG87736,102,Fairfield University,262264670
MAG10360,103,Ukrainian National Forestry University,899727589
MAG23493,104,Kameshwar Singh Darbhanga Sanskrit University,598997065
MAG86350,105,Universidad de Hermosillo,425304051
MAG70734,106,Université de Batna,105683440
MAG05326,107,Chinju National University,702188013
MAG36377,108,B.P.Koirala Institute of Health Sciences,132812708
MAG59228,109,"Islamic Azad University, Mobarakeh",719382928
MAG89340,110,Greenford International University,449509963
MAG27926,111,University of Human Development (Kurdistan Region),461124391
MAG40937,112,Avondale College,447934839
MAG06322,113,Dalhousie University,822059809
MAG03103,114,Universidad Bolivariana,557699305
MAG24271,115,Texas A&M University,727406839
MAG43285,116,Iwate Medical University,111959723
MAG74452,117,Mahatma Jyotiba Phule Rohilkhand University Bareilly ,044363250
MAG92790,118,Cochin University of Science and Technology,455301638
MAG64952,119,State University of New York College of Optometry,791279685
MAG41208,120,Stefan University,970295417
MAG84654,121,Foundation University,531831343
MAG75338,122,University of Scranton,251115001
MAG41575,123,Universidad Popular de Nicaragua (UPONIC),735802874
MAG19799,124,East-Siberian State University of Technology,792753286
MAG17389,125,University of Houston,476011343
MAG39903,126,Baku Slavic University,408985056
MAG71627,127,University of North London,828776584
MAG02348,128,PTPL College,117590057
MAG26897,129,University of lloilo,994884667
MAG00399,130,William Jewell College,710162506
MAG15793,131,Fundación Universitaria San Martín,425818204
MAG61605,132,Asia Pacific Institute of Information Technology (APIIT),016195119
MAG70590,133,Universidade Federal do Paraná,999299031
MAG38881,134,University of the Southwest,060998987
MAG56568,135,Kharkiv National University,220424190
MAG71173,136,Tomsk State University of Architecture and Building,736112197
MAG30519,137,Guangdong Polytechnic Normal University,784882651
MAG10760,138,Mississippi State University,370196619
MAG37221,139,National Academy of Fine Arts,973178922
MAG69600,140,Tilka Manjhi Bhagalpur University,140199837
MAG81023,141,Ecole Nationale Supérieure des Arts et Industries Textiles,268926288
MAG04193,142,Volgograd State Technical University,762794471
MAG41062,143,Universitas Syiah Kuala,803891227
MAG62797,144,University of New England,380661774
MAG16207,145,Detroit College of Business - Warren,937316444
MAG88100,146,Tokyo University of Foreign Studies,987225678
MAG81131,147,University of Kuopio,768005933
MAG92666,148,Universidad San Juan de la Cruz,645697545
MAG97134,149,Aga Khan University,034814100
MAG68656,150,Morehouse College,605382403
MAG59601,151,Daido Institute of Technology,616409058
MAG37220,152,National Institute of Technology Kurukshetra,071211612
MAG38904,153,Baku Slavic University,065423837
MAG58252,154,Yan Shan University,612771886
MAG90688,155,Universidad de Ciencias Aplicadas y Ambientales (UDCA),142537243
MAG11620,156,Fresno Pacific University,234776279
MAG44965,157,Universidade Regional do Cariri,419230768
MAG33822,158,Universitas Muhammadiyah Magelang,473754728
MAG67780,159,Shanghai Ocean University,436035504
MAG03834,160,Bethlehem University,579523921
MAG21672,161,Mennonite College of Nursing,627768591
MAG64775,162,Persian Gulf University,424988580
MAG30425,163,North East University Bangladesh,588819542
MAG27469,164,Dr. Babasaheb Ambedkar Technological University,433847959
MAG82327,165,"Academy of Performing Arts, Film and TV Fakulty",379889714
MAG45691,166,Mandhu College,146624308
MAG81692,167,University of Helsinki,794039859
MAG11431,168,University of the Thai Chamber of Commerce,802893805
MAG84091,169,Fachhochschule Ravensburg-Weingarten,342902217
MAG90087,170,Guilford College,014646850
MAG97278,171,Gyeongsang National University,833186038
MAG51040,172,Jigjiga University,679880274
MAG43461,173,Bamiyan University,340506077
MAG76866,174,University of Kelaniya,269290031
MAG95352,175,Connecticut College,317122384
MAG25571,176,Obninsk State Technical University for Nuclear Power Engineering,846184616
MAG95713,177,Azerbaijan Medical University,418604246
MAG90284,178,Dongduk Women's University,673760391
MAG70512,179,Winston-Salem State University,446333446
MAG30056,180,University Institute of Architecture Venice,293897823
MAG57405,181,Universitas Muhammadiyah Yogyakarta,106132179
MAG42224,182,Shandong University of Triaditional Chinese Medicine,131825447
MAG80334,183,University of Wisconsin - Madison,649855107
MAG45082,184,Charles Sturt University,753445049
MAG59773,185,Bethel College McKenzie,508273794
MAG13007,186,Sarah Lawrence College,769233777
MAG79197,187,Hawassa University,886810170
MAG00925,188,Universidad Nacional Abierta y a Distancia,978623308
MAG38972,189,University of the Incarnate World,119326067
MAG33241,190,Brandeis University,937749964
MAG91421,191,Jerusalem University College,907967996
MAG46192,192,Doshisha University,872627096
MAG09097,193,Universidad Nueva Esparta,272138922
MAG73844,194,Inchon University,544186414
MAG72803,195,Hebei Medical University,732309389
MAG08623,196,Ferris State University,638641736
MAG79325,197,Lewis and Clark College,886445172
MAG47217,198,University of South Australia,157760220
MAG43938,199,Universidad César Vallejo,041946697
MAG32449,200,Ivano-Frankivsk National University of Oli and Gas,025377397
MAG22145,201,Universidad Abierta Interactiva,245032756
MAG35875,202,State Engineering University of Armenia,163636825
MAG80216,203,University Goce Delcev,846541282
MAG00256,204,University of Baghdad,717560679
MAG19967,205,"Islamic Azad University, Tehran South",170335755
MAG90093,206,West China University of Medical Sciences,860728485
MAG58724,207,Keio University,667840385
MAG85418,208,Chiang Mai Rajabhat University,430897022
MAG61467,209,Politeknik Negeri Pontianak,357734334
MAG21559,210,Liszt Ferenc Academy of Music Budapest,069891500
MAG91991,211,Agricultural University of Szczecin,702456377
MAG68708,212,Gorgan University of Agricultural Sciences and Natural Resources,937216765
MAG07042,213,College of New Rochelle,868907924
MAG39015,214,Elms College,733887099
MAG48741,215,Russian Academy of Arts,539694681
MAG79153,216,Sichuan Normal University,060280171
MAG89174,217,Liaocheng Teachers University,434208918
MAG69823,218,University of Sioux Falls,491917660
MAG59297,219,Sang Ji University,803056960
MAG67216,220,Gwangju Catholic College,864203518
MAG29232,221,University of New Hampshire - Manchester,383933335
MAG28480,222,Universidad Tecnológica San Antonio de Machala,326306734
MAG95396,223,Future University,140403764
MAG61632,224,State University of New York Downstate Medical Center,921254730
MAG93346,225,Universitas Simalungun,269202713
MAG91169,226,Chongqing University of Communications,665219710
MAG69457,227,Agricultural University of Plovdiv,444596988
MAG80479,228,Holy Names College,458138086
MAG93068,229,Bashkir State Pedagogical University named After M. Akmullah,710489363
MAG95295,230,International Islamic University Chittagong,858937847
MAG65507,231,Agricultural University of Georgia,182877082
MAG49662,232,Yeditepe University,959454185
MAG21501,233,Kumoh National University of Technology,767591434
MAG03150,234,"Heythrop College, University of London",732660566
MAG88101,235,Al-Imam Mohamed Ibn Saud Islamic University,629720881
MAG65964,236,Universidad de Huelva,470683858
MAG95734,237,Marygrove College,262616556
MAG45456,238,Georg-August Universität Göttingen,205942576
MAG88097,239,Macau Polytechnic Institute,314504282
MAG05613,240,Northland College,671086981
MAG19943,241,"Ross University, School of Medicine",618896199
MAG13535,242,Wuyi University,530775564
MAG33521,243,"Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)",166129484
MAG72325,244,Palestine Technical University - Kadoorie,640531605
MAG74622,245,Chungbuk National University,097175235
MAG81063,246,New College of California,032732133
MAG42225,247,Northwest Polytechnical University Xi'an,692136601
MAG67351,248,Chonju National University of Education,981515829
MAG99639,249,Lycoming College,295519473
MAG96202,250,Ibaraki University,195729158
MAG55397,251,"Fachhochschule Ulm, Hochschule für Technik",913492874
MAG65469,252,University of Michigan - Dearborn,673223114
MAG20895,253,University of West Alabama,577405745
MAG36820,254,Sohar University,999584026
MAG32939,255,University of Charleston South Carolina,811513509
MAG56064,256,Oklahoma City University,374978068
MAG16828,257,University of Hawaii - Hilo,513856595
MAG06386,258,Universidad San Juan de la Cruz,024453611
MAG15401,259,Universidad Privada Franz Tamayo (UNIFRANZ),293214843
MAG42647,260,Wittenberg University,550504519
MAG42208,261,Tata Institute of Social Sciences,072227562
MAG11083,262,Ecole Nationale de l'Aviation Civile,789229262
MAG55456,263,Upper Iowa University,155907100
MAG35566,264,Universidad de la Empresa (UDE),607202021
MAG62053,265,Fahad Bin Sultan University,855637042
MAG32951,266,Universidad Mariano Egaña,007363556
MAG82566,267,Gazi University Ankara,180163790
MAG19113,268,Universidad Nacional San Luis Gonzaga,333583472
MAG44705,269,Medizinische Universität Graz,680682439
MAG62697,270,Detroit College of Business - Flint,983725388
MAG42583,271,Polish Open University in Warsaw (WSZ/POU),819543113
MAG27981,272,Universidad de Navarra,435027944
MAG24622,273,Universidade do Grande Rio,481009664
MAG95110,274,College of Computer Science in Lodz,758816558
MAG71179,275,Universidad Abierta y a Distancia de Panama,718790195
MAG61753,276,Universidade Federal de Roraima,431744500
MAG90989,277,Fachhochschulstudiengänge der Wiener Wirtschaft,640869018
MAG04105,278,University of Electro-Communications,850117785
MAG99800,279,Suzuka International University,154170466
MAG96898,280,"Khalifa University of Science, Technology and Research",504092710
MAG85798,281,National University of Kiev-Mohyla Academy,186506711
MAG99057,282,Yaroslavl International University of Business and New Technologies,535060446
MAG63833,283,Kobe Design University,316157897
MAG46592,284,Nara University of Commerce,974686385
MAG51833,285,Universiti Sains Malaysia,628511272
MAG42531,286,Universidad Santa Maria Caracas,520242214
MAG56024,287,Ecole Supérieure de Commerce de Dijon,511572354
MAG37038,288,Ranchi University,735124557
MAG00476,289,University of Liberal Arts,334021070
MAG19167,290,Mayville State University,625108412
MAG59902,291,Global Business School Barcelona,181222253
MAG63984,292,Ho Polytechnic ,602522431
MAG08311,293,Technische Universität Clausthal,848335289
MAG00547,294,Arak University of Medical Sciences,505224379
MAG64327,295,Manhattan Christian College,461080762
MAG38966,296,Colby College,468018311
MAG67424,297,Pennsylvania State University - Milton S.Hershey Medical Center,267221443
MAG00025,298,Ecole Nationale Supérieure des Mines de St-Etienne,396169654
MAG58155,299,Hochschule für Philosophie München,406084860
MAG75071,300,Royal College of Physicians of Ireland,197965933
MAG96002,301,Augustana University College,205466246
MAG69642,302,Siberian State Industrial University,464306048
MAG98437,303,Nagoya Women's University,651438448
MAG54869,304,Kazak American University,269615818
MAG84879,305,Kankakee Community College,660553221
MAG33346,306,Sultan Haji Ahmad Shah Polytechnic,832085702
MAG91636,307,Université de Béjaia,653702682
MAG96815,308,Yeungnam University,986268561
MAG08095,309,Mahamakut Buddhist University,061329398
MAG08232,310,Universitas Tunas Pembangunan,876016645
MAG73813,311,Yerevan Haibusak University,436376858
MAG16539,312,Lithuania Christian College,645469975
MAG99530,313,Jobu University,569483831
MAG51184,314,Mugla University,459054145
MAG28194,315,Jagiellonian University Cracow,722819188
MAG24018,316,Zhejiang Gongshang University,758903358
MAG50951,317,Universidad Politécnica de Valencia,482292100
MAG14048,318,The Scripps Research Institute,202195030
MAG89664,319,Mekelle Institute of Technology,077425091
MAG49490,320,Universidad Técnica de Ambato,076383532
MAG19864,321,Mordovian State University,835668962
MAG57495,322,"Indian Institute of Management, Tiruchirappalli",946100404
MAG17485,323,Fachhochschule Hannover,985543940
MAG48088,324,Moscow State University M.V. Lomonosov,096883247
MAG92863,325,Universidad de Antioquía,908160512
MAG21401,326,Sagami Women's University,389076253
MAG83148,327,Agricultural University of Georgia,341593251
MAG90419,328,St. Petersburg State University of Culture and Arts,740830215
MAG99457,329,Ben-Gurion University of the Negev,866587625
MAG92067,330,Daiichi University of Economics,515516889
MAG05143,331,"National Academy of Music ""Pantcho Vladigerov""",396642528
MAG94964,332,"Evangelische Fachhochschule für Religionspädagogik, und Gemeindediakonie Moritzburg",126985654
MAG23337,333,Perm State Academy of Agriculture,081566243
MAG08471,334,New England College,566024735
MAG82784,335,Fukuoka International University,531499930
MAG26348,336,University of Liverpool,555273029
MAG11059,337,"NGO Vladikavkaz Institute of Economics, Management, and Law",880053168
MAG21252,338,Universidad de San Miguel,875291367
MAG80380,339,University of East Anglia,739642499
MAG14256,340,University Of Hawaii - System,374664088
MAG65880,341,Huntington College,748373400
MAG93674,342,Rockford College,277049634
MAG39528,343,Girne American University,527096194
MAG13724,344,Iran University of Medical Sciences,753032632
MAG68433,345,Technological Education Institute of Piraeus,439419461
MAG68728,346,Universitas Darma Persada,038953804
MAG70006,347,"Fachhochschule Biberach, Hochschule für Bauwesen und Wirtschaft",770742912
MAG21457,348,International Centre for Isclamic Science,488474262
MAG66598,349,University of Debrecen ,579752749
MAG09183,350,RCSI-Medical University of Bahrain,069960894
MAG06991,351,Ecole Nationale Supérieure des Arts et Industries de Strasbourg,211661422
MAG01429,352,Allegheny College,926600146
MAG40791,353,Osaka University of Education,179413117
MAG67719,354,International Centre for Isclamic Science,905122419
MAG52198,355,Tzu Chi College of Medicine and Humanities,800281372
MAG13033,356,"Universidad de Puerto Rico, Rio Pedras",126102948
MAG01131,357,"Islamic Azad University, Central Tehran Branch",174389715
MAG80574,358,Universitas Persada Indonesia Y.A.I,079636886
MAG26447,359,University of Bari,197847068
MAG02738,360,"Islamic Azad University, North Tehran",660326934
MAG86785,361,Ehime University,922759663
MAG80524,362,University of Parma,117168817
MAG39241,363,Universidad Nacional del Comahue,953852170
MAG40575,364,Keio University,394544854
MAG55167,365,Keiwa College,031320933
MAG34393,366,Ecole Centrale d'Electronique - ECE,407854767
MAG15261,367,University of Western Australia,649515450
MAG10934,368,University of Switzerland,278505283
MAG36305,369,Hochschule Mittweida (FH),263152697
MAG80541,370,Fukuoka University,641441313
MAG26497,371,University of Teesside,331295077
MAG21049,372,Academy of Public Administration of Belarus,570543398
MAG47599,373,Universidad Privada Juan Mejía Baca,473370349
MAG79306,374,University of East Asia,567613559
MAG18186,375,Valdosta State University,960771418
MAG60789,376,Free International University of Social Studies,494308780
MAG41851,377,American International College,762278867
MAG62362,378,Universitas Amir Hamzah,646463958
MAG27746,379,Universidad Nacional de La Matanza,723141118
MAG37869,380,East West University,884285210
MAG14150,381,Heilongjiang Commercial University,093650160
MAG55030,382,Morehouse College,581547129
MAG18561,383,Azabu University,580380108
MAG21845,384,St. Michael's College,543590822
MAG02228,385,Ama International University,699796925
MAG64172,386,Semey State University,997987487
MAG26796,387,Seijo University,845407852
MAG54417,388,Moorhead State University,386589711
MAG38913,389,Roosevelt Academy University College,347497563
MAG11582,390,Tohoku Fukushi University,895377525
MAG69032,391,Ho Chi Minh City Open University,393659512
MAG74013,392,Czech University of Agriculture Prague,226214553
MAG76405,393,Universidad Academia de Humanismo Cristiano,660184254
MAG95234,394,University of Information Technology and Management in Rzeszow,932270257
MAG79439,395,Universidad Cooperativa de Colombia,119887734
MAG69731,396,Universidad Católica Argentina Santa Maria de los Buenos Aires,218158263
MAG45998,397,Maseno University,193487059
MAG76984,398,East Kazakstan State Technical University,009607069
MAG37610,399,"Islamic Azad University, Bojnourd",912492566
MAG09466,400,Universidad Dr. Rafael Belloso Chacín,728214026
MAG61251,401,University of Jordan,119192994
MAG69898,402,Lourdes College,567487716
MAG00805,403,"University of Maine, Presque Isle",103960907
MAG20815,404,Thiel College,279005518
MAG44613,405,Eurasian Institute of market,404595098
MAG06314,406,Universidad de Chile,685657297
MAG72376,407,Istanbul University,240987796
MAG01921,408,"Evangelische Fachhochschule Reutlingen-Ludwigsburg, Hochschule für Soziale Arbeit, Religionspädagogik und Diakonie",371484702
MAG75154,409,Ahfad University for Women,626345528
MAG18402,410,East-Siberian State University of Technology,546143100
MAG33078,411,University of Technology Sydney,637004622
MAG26283,412,Universidad de Concepción del Uruguay,436343737
MAG54955,413,Luxun Academy of Fine Art,111677295
MAG72875,414,Amity University,683336284
MAG30061,415,Ulyanovsk State Technical University,498203407
MAG25379,416,Université du Droit et de la Sante (Lille II),689982861
MAG74544,417,Medical University of Sofia,783654062
MAG69302,418,Moscow State Technical University of Civil Aviation,966735114
MAG44909,419,Liaquat University of Medical & Health Sciences Jamshoro,348946864
MAG23581,420,Universidad Obrera de Mexico,417115075
MAG97430,421,The College of Santa Fe,749340650
MAG10397,422,Mogadishu University,295650058
MAG28590,423,Arab Open University,436244330
MAG72566,424,Manarat International University,525282922
MAG56309,425,Trevecca Nazarene University,942037150
MAG00558,426,Catholic University in Ruzomberok,708063296
MAG49262,427,Jacksonville State University,646192298
MAG51867,428,Rockhurst College,450887916
MAG39679,429,Shah Abdul Latif University Khairpur,307576801
MAG47569,430,South Asian Institute of Technology And Medicine (SAITM) ,743894331
MAG43226,431,University of Tennessee - Memphis,396488317
MAG17170,432,Oregon Graduate Institute of Science and Technology,525878008
MAG75235,433,Osaka College of Music,840780569
MAG66508,434,Türkisch-Deutsche Universität,982851648
MAG81655,435,Torbat Heydarieh University of Medical Sciences,684606190
MAG31625,436,Seoul National University of Education,184697340
MAG16692,437,University of Priština,616608147
MAG65580,438,Neelain University,298017894
MAG47793,439,Al-Khair University,209828319
MAG81335,440,Internationle Akademie für Philosophie,821359297
MAG96719,441,Jordan Academy of Music / Higher Institute of Music,305726574
MAG02633,442,Saito College,156552073
MAG74109,443,Immanuel Kant State University of Russia,859863060
MAG13838,444,Southern Adventist University,332256296
MAG66030,445,Bengal Engineering College,088404233
MAG67676,446,Universidad Nacional de Villa María,195051175
MAG22382,447,Virgen Milagrosa University Foundation,528203638
MAG49712,448,Harran University,876607015
MAG32195,449,University of North Texas Health Science Center at Fort Worth,688355094
MAG89239,450,Malone College,174034132
MAG37981,451,Tottori University of Environmental Studies,373491759
MAG69576,452,"Instituto de Artes Visuais, Design e Marketing - IADE",992873987
MAG57412,453,Osaka University of Health and Sport Sciences,947167796
MAG97334,454,Huachiew Chalermprakiet University,144991575
MAG22204,455,Virginia Commonwealth University,537294751
MAG37020,456,Hebrew College,056339561
MAG77894,457,University of Applied Sciences Chur,520205387
MAG38253,458,Lock Haven University of Pennsylvania,913485672
MAG94007,459,Mar Athanasios College for Advanced Studies,375420600
MAG79772,460,University of Northern Bahr El-Ghazal,519503833
MAG01657,461,Tomball College,969209329
MAG35629,462,Universidad Central de Nicaragua,560935718
MAG72070,463,Falmouth University,866777617
MAG13953,464,Universidad Cientifica del Sur,411681895
MAG29282,465,Göteborg University,165946587
MAG36077,466,Western International University,594564151
MAG97449,467,"City University of New York, School of Law at Queens College",209642664
MAG72110,468,Pedagogical University of Zielona Gora,319910132
MAG53739,469,Universidad Nacional de Lanus,339117664
MAG09061,470,University of Constanta Medical School,302090469
MAG52907,471,Ho Polytechnic ,446625222
MAG16849,472,Midland Lutheran College,813124610
MAG95828,473,National Taipei College of Nursing,760876919
MAG80317,474,Ionian University Corfu,935005093
MAG50171,475,Stephens College,876430808
MAG40650,476,Higashi Nippon International University,444502380
MAG19354,477,"Nordakademie, Staatlich anerkannte private Fachhochschule mit dualen Studiengängen",046008303
MAG00152,478,"City University of New York, College of Staten Island",041183919
MAG98602,479,"Fachhochschule Biberach, Hochschule für Bauwesen und Wirtschaft",454917350
MAG04406,480,Renmin University of China,682860930
MAG56346,481,Universidad Nacional de Ingeniería,792627746
MAG71686,482,Ecole Française d'Electronique et d'Informatique,302753790
MAG08937,483,"DeVry Institute of Technology, Columbus",166839624
MAG58633,484,Texas Woman's University,649765019
MAG94345,485,Fukuoka Women's University,315045026
MAG26960,486,Moody Bible Institute,623609413
MAG32611,487,University of Southern Denmark,095147901
MAG51693,488,Tohoku Gakuin University,471855072
MAG48155,489,Kiriri Womens University of Science and Technology,629268976
MAG63574,490,Reformed Bible College,447503977
MAG58779,491,Hokkaido Tokai University,400096139
MAG38574,492,Dominican College of San Rafael,219111783
MAG30037,493,Liaocheng Teachers University,102989394
MAG54628,494,Connecticut College,509850357
MAG06175,495,Bratsk State Technical University,689208682
MAG60299,496,Athens Graduate School of Management (AGSM),275397675
MAG59437,497,Salem College,753325196
MAG27360,498,Technische Universität Darmstadt,364589371
MAG05520,499,Rose-Hulman Institute of Technology,628042673
MAG30780,500,De Montfort University Leicester,251284255
MAG32978,501,Jilin University of Technology,662195485
MAG75124,502,Université du Maine,739540642
MAG21510,503,Polytechnic University of Tirane,324020340
MAG75716,504,University of Delaware,895868296
MAG70281,505,Tri-College University,213115659
MAG98275,506,Poltava University of Consumer Cooperatives in Ukraine,457685790
MAG79285,507,Phillips-Universität Marburg,141156485
MAG29974,508,Faculdades Integradas Toledo,724495188
MAG76272,509,University of St. Jerome's College,284430272
MAG04775,510,Mogadishu University,271031888
MAG50235,511,Tokoha Gakuen University,592578700
MAG04429,512,Beijing Institute of Technology,035168116
MAG75843,513,"St.Patrick's International College, London",347266987
MAG95003,514,Medical College of Wisconsin,947291220
MAG65074,515,University of Burao,392112163
MAG86560,516,Maryville University of St. Louis,377007571
MAG28313,517,Grand View College,146515243
MAG65628,518,Institute of Space Technology,630421563
MAG68759,519,Palmer College of Chiropractic West,720981978
MAG99258,520,National Ribat University,834605368
MAG15323,521,Osaka University of Foreign Studies,507128969
MAG91891,522,Chubu Gakuin University & Chubu Women's College,837278198
MAG67496,523,Sirte University,677176906
MAG00053,524,Shanghai Sipo Polytechnic,051035674
MAG07753,525,Kent State University - Tuscarawas,132519851
MAG74004,526,Darul Quran Islamic College University,406886711
MAG17374,527,Universidad Empresarial Mateo Kuljis,371136867
MAG50976,528,Hobe Sound Bible College,941362658
MAG33626,529,"Institute of Teachers Education, Raja Melewar",387293665
MAG48579,530,Instituto Tecnológico de Buenos Aires,416500813
MAG29189,531,Bellarmine College,216823087
MAG06795,532,Mulungushi University,059007076
MAG85064,533,COSMIQ Institute of Technology,387451751
MAG72990,534,Qinghai Radio & Television University,298024893
MAG93889,535,Samar State University,586468949
MAG10283,536,Hijiyama University,088504137
MAG79205,537,Konkuk University,842230331
MAG82661,538,Seneca College,499581004
MAG45744,539,"Irish University Business School, Cebu",455694609
MAG04876,540,St. Petersburg State Medical Academy,579826193
MAG51618,541,Universidad Autónoma de Occidente,569533413
MAG00086,542,Toho University,254793934
MAG11406,543,Langara College,277378196
MAG51494,544,University of Trnava,298085227
MAG06645,545,Dneprodzerzhinsk State Technical University,964079576
MAG32303,546,Universidad Santa Maria Caracas,322212828
MAG83110,547,Saito College,452168961
MAG45164,548,Sultan Azlan Shah Polytechnic ,657253759
MAG17849,549,Université de Batna,437189857
MAG24816,550,Hannibal-Lagrange College,615138002
MAG07109,551,Universidad de Valparaiso,022395510
MAG40430,552,"Fachhochschule Mannheim, Hochschule für Technik und Gestaltung",931369545
MAG90458,553,Universidade Candido Mendes,274036270
MAG62263,554,Moscow State Technical University of Civil Aviation,625104152
MAG97006,555,Universidad Santo Tomás,107082969
MAG40267,556,University College of Skövde,821801004
MAG88598,557,Hebrew University of Jerusalem,293115442
MAG32277,558,Ecole Supérieure des Techniques Industrielles et des Textiles,657578179
MAG78217,559,University of Maryland University College,491979499
MAG85974,560,Universidad de Burgos,292981473
MAG72386,561,Manonmaniam Sundaranar University,840209037
MAG30599,562,University of Electro-Communications,020356037
MAG65381,563,Miyagi Gakuin Women's College,768903919
MAG75879,564,Technical University of Gdansk,904460619
MAG89376,565,"Universidad Técnica de Esmeraldas ""Luis Vargas Torres""",019707006
MAG04362,566,Birjand University,677859831
MAG48618,567,Universidade Federal do Rio de Janeiro,390950105
